Account Designator,Posted Date,Serial Number,Description,Amount,CR/DR,Type
E-CHECKING          ,9/30/2015,0,0.150% Dividend Deposit: 0.150%,0.05,CR,Income
E-CHECKING          ,9/30/2015,0,UNIVERSITY OF MONTANA - MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,4.25,DR,Eating Out
E-CHECKING          ,9/30/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #009713,18.3,DR,Grocery
E-CHECKING          ,9/30/2015,0,WENDY'S 15012 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,4.77,DR,Eating Out
E-CHECKING          ,9/30/2015,0,MAGIC DIAMOND CASINO MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.49,DR,Eating Out
E-CHECKING          ,9/30/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.85,DR,Eating Out
E-CHECKING          ,9/29/2015,0,Acorns.com ACH Withdrawal: Acorns.com,6.32,DR,Investment
E-CHECKING          ,9/29/2015,0,TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,6.85,DR,Eating Out
E-CHECKING          ,9/28/2015,0,Cash Deposit,50,CR,Income
E-CHECKING          ,9/27/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,14.28,DR,Eating Out
E-CHECKING          ,9/27/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,2.68,DR,Eating Out
E-CHECKING          ,9/27/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #020665,6.18,DR,Grocery
E-CHECKING          ,9/27/2015,0,TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,13.4,DR,Eating Out
E-CHECKING          ,9/27/2015,0,UNIVERSITY OF MONTANA - MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,3.75,DR,Eating Out
E-CHECKING          ,9/26/2015,0,BEST BUY 0 2640 NORTH RESERVE MISSOULA POS Withdrawal: #049025,9.99,DR,Misc
E-CHECKING          ,9/26/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,5.47,DR,Eating Out
E-CHECKING          ,9/26/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,11.53,DR,Eating Out
E-CHECKING          ,9/26/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,26.44,DR,Eating Out
E-CHECKING          ,9/24/2015,0,From Share 0000 Transfer Deposit: From Share 0000,1000,CR,Income
E-CHECKING          ,9/24/2015,0,TACO DEL SOL MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.7,DR,Eating Out
E-CHECKING          ,9/23/2015,0,TOP HAT LOUNGE MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,71.3,DR,Eating Out
E-CHECKING          ,9/23/2015,0,Transfer Deposit: From Share 0000,6.01,CR,Income
E-CHECKING          ,9/23/2015,0,WENDY'S 15012 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,2.58,DR,Eating Out
E-CHECKING          ,9/23/2015,0,MCDONALD'S F10297 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,6.45,DR,Eating Out
E-CHECKING          ,9/23/2015,0,PAYPAL ACH Withdrawal: PAYPAL,300,DR,Credit Cards
E-CHECKING          ,9/23/2015,0,Acorns.com ACH Withdrawal: Acorns.com,7.58,DR,Investment
E-CHECKING          ,9/23/2015,0,UNIVERSITY OF MONTANA - MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,3.75,DR,Eating Out
E-CHECKING          ,9/23/2015,0,WALMART.COM 800-966-6546 AR Debit Card Withdrawal: SIG DEBIT CARD,0.99,DR,Eating Out
E-CHECKING          ,9/22/2015,0,MONTANA BOOK STORE MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,2.5,DR,Misc
E-CHECKING          ,9/22/2015,0,WENDY'S 15012 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,6.49,DR,Eating Out
E-CHECKING          ,9/22/2015,0,COSTCO WHSE #0067 MISSOULA MT POS Withdrawal: #020016,40.48,DR,Grocery
E-CHECKING          ,9/22/2015,0,Home Banking Transfer Deposit: From Shar,100,CR,Income
E-CHECKING          ,9/22/2015,0,CHARTER COMM 888-438-2427 MT Debit Card Withdrawal: SIG DEBIT CARD,41.33,DR,Internet
E-CHECKING          ,9/22/2015,0,STEAMPOWERED.COM 425-9522985 WA Debit Card Withdrawal: SIG DEBIT CARD,59.99,DR,Video Games
E-CHECKING          ,9/22/2015,0,WM SUPERCENTER Wal-Mart Super Center POS Withdrawal: #034945,36.66,DR,Misc
