Account Designator,Posted Date,Serial Number,Description,Amount,CR/DR,Type
E-CHECKING          ,6/30/2015,0,0.150% Dividend Deposit: 0.150%,0.11,CR,Income
E-CHECKING          ,6/30/2015,0,GREEN HANGER CAR WASH MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,10,DR,Misc
E-CHECKING          ,6/30/2015,0,CAPITAL ONE N.A. ACH Withdrawal: CAPITAL ONE N.A.,250,DR,Credit Cards
E-CHECKING          ,6/30/2015,0,CAPITAL ONE ACH Withdrawal: CAPITAL ONE,50,DR,Credit Cards
E-CHECKING          ,6/30/2015,0,ST REGIS TRAVEL CTR SAINT REGIS MT Debit Card Withdrawal: SIG DEBIT CARD,41.69,DR,Gas
E-CHECKING          ,6/29/2015,0,CHEVRON 00204469 RITZVILLE WA Debit Card Withdrawal: SIG DEBIT CARD,45.11,DR,Gas
E-CHECKING          ,6/29/2015,0,ST REGIS TRAVEL CTR SAINT REGIS MT Debit Card Withdrawal: SIG DEBIT CARD,52.73,DR,Gas
E-CHECKING          ,6/29/2015,0,"Transfer Withdrawal To DONEY,STEVEN J XXXXXXXXXX Share 0015",100,DR,Loans
E-CHECKING          ,6/29/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #024416,2.99,DR,Grocery
E-CHECKING          ,6/28/2015,0,ST REGIS TRAVEL CTR SAINT REGIS MT POS Withdrawal: #008216,2.22,DR,Eating Out
E-CHECKING          ,6/28/2015,0,THE GONDOLIER LLC KELLOGG ID POS Withdrawal: #051917,9.81,DR,Eating Out
E-CHECKING          ,6/28/2015,0,NETFLIX.COM NETFLIX.COM CA Debit Card Withdrawal: SIG DEBIT CARD,7.99,DR,Netflix
E-CHECKING          ,6/28/2015,0,ERNIE'S CHEVRON MOSES LAKE WA POS Withdrawal: #025076,50.67,DR,Gas
E-CHECKING          ,6/26/2015,0,Msla Vet ACH Deposit: Msla Vet,648.98,CR,Income
E-CHECKING          ,6/24/2015,0,ST REGIS TRAVEL CTR SAINT REGIS MT POS Withdrawal: #048341,2.85,DR,Eating Out
E-CHECKING          ,6/24/2015,0,#02024 ALBERTSONS MISSOULA MT POS Withdrawal: #026012,14.86,DR,Grocery
E-CHECKING          ,6/24/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #016635,10.35,DR,Grocery
E-CHECKING          ,6/23/2015,0,GREEN HANGER CAR WASH MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,10,DR,Misc
E-CHECKING          ,6/23/2015,0,CENEX ZIP TRIP 1540 TOOLE AVE MISSOULA POS Withdrawal: #013588,2.99,DR,Eating Out
E-CHECKING          ,6/23/2015,0,MISSOULA FRESH MARKET N MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,31.01,DR,Grocery
E-CHECKING          ,6/22/2015,0,#02024 ALBERTSONS MISSOULA MT POS Withdrawal: #058103,2.99,DR,Grocery
E-CHECKING          ,6/22/2015,0,REI #72 MISSOUL 2230 N Reserve St Ste 3 POS Withdrawal: #036882,61.28,DR,Misc
E-CHECKING          ,6/22/2015,0,CENEX ZIP TRIP 1540 TOOLE AVE MISSOULA POS Withdrawal: #018124,2.69,DR,Eating Out
E-CHECKING          ,6/21/2015,0,PAULS PANCAKE PARLOR MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,30,DR,Eating Out
E-CHECKING          ,6/20/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #010819,11.17,DR,Grocery
E-CHECKING          ,6/18/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #062736,7.56,DR,Grocery
E-CHECKING          ,6/18/2015,0,PET NEBULA MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,32.99,DR,Misc
E-CHECKING          ,6/18/2015,0,DOCS GOURMET SANDWICH S MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,20,DR,Eating Out
E-CHECKING          ,6/17/2015,0,ARBYS 6631 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,8.79,DR,Eating Out
E-CHECKING          ,6/17/2015,0,CREDIT FIRST NA ACH Withdrawal: CREDIT FIRST NA,100,DR,Credit Cards
E-CHECKING          ,6/16/2015,0,CAPITAL ONE N.A. ACH Withdrawal: CAPITAL ONE N.A.,250,DR,Credit Cards
E-CHECKING          ,6/16/2015,0,CAPITAL ONE ACH Withdrawal: CAPITAL ONE,50,DR,Credit Cards
E-CHECKING          ,6/16/2015,0,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA Debit Card Withdrawal: SIG DEBIT CARD,8.49,DR,Misc
E-CHECKING          ,6/15/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #021730,5.49,DR,Grocery
E-CHECKING          ,6/14/2015,0,WM SUPERCENTER Wal-Mart Store MISSOULA POS Withdrawal: #043628,43.27,DR,Grocery
E-CHECKING          ,6/12/2015,0,Msla Vet ACH Deposit: Msla Vet,702.05,CR,Income
E-CHECKING          ,6/10/2015,0,CAPITAL ONE N.A. ACH Deposit: CAPITAL ONE N.A.,50,CR,Credit Cards
