Account Designator,Posted Date,Serial Number,Description,Amount,CR/DR,Type
E-CHECKING          ,6/30/2015,0,0.150% Dividend Deposit: 0.150%,0.22,CR,Income
E-CHECKING          ,6/30/2015,0,MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #009818,5.65,DR,Grocery
E-CHECKING          ,6/30/2015,0,TACO DEL MAR 410016707 RITZVILLE WA Debit Card Withdrawal: SIG DEBIT CARD,34.02,DR,Eating Out
E-CHECKING          ,6/30/2015,0,STARBUCKS #10479 RITZVI RITZVILLE WA Debit Card Withdrawal: SIG DEBIT CARD,18.09,DR,Eating Out
E-CHECKING          ,6/30/2015,0,AMAZON.COM ACH Deposit: AMAZON.COM,74.23,CR,Misc
E-CHECKING          ,6/30/2015,0,SONIC DRIVE IN #5932 WENATCHEE WA Debit Card Withdrawal: SIG DEBIT CARD,20.78,DR,Eating Out
E-CHECKING          ,6/30/2015,0,OLES COUNTRY STR #2 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,2.58,DR,Eating Out
E-CHECKING          ,6/29/2015,0,B AND B FRUIT AND ORCH EAST WENATCHE WA Debit Card Withdrawal: SIG DEBIT CARD,27.53,DR,Grocery
E-CHECKING          ,6/28/2015,0,SHELL OIL 57425436201 E WENATCHEE WA Debit Card Withdrawal: SIG DEBIT CARD,14.94,DR,Eating Out
E-CHECKING          ,6/28/2015,0,SHELL Service Station EAST WENATCHE WA POS Withdrawal: #035684,5,DR,Eating Out
E-CHECKING          ,6/27/2015,0,SHELL Service Station EAST WENATCHE WA POS Withdrawal: #047889,28.69,DR,Gas
E-CHECKING          ,6/26/2015,0,SHELL OIL 57425436201 E WENATCHEE WA Debit Card Withdrawal: SIG DEBIT CARD,9.18,DR,Eating Out
E-CHECKING          ,6/26/2015,0,FRED MEYER 654 EAST WENATCHE WA POS Withdrawal: #004363,16.88,DR,Grocery
E-CHECKING          ,6/26/2015,0,SHELL Service Station EAST WENATCHE WA POS Withdrawal: #034630,5,DR,Eating Out
E-CHECKING          ,6/26/2015,0,CENEX FINEST O07065477 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,56,DR,Gas
E-CHECKING          ,6/25/2015,0,LINCOLN ROCK 360-902-8523 WA Debit Card Withdrawal: SIG DEBIT CARD,40,DR,Misc
E-CHECKING          ,6/25/2015,0,LIBERTY LAKE REGIONAL LIBERTY LAKE WA Debit Card Withdrawal: SIG DEBIT CARD,4,DR,Eating Out
E-CHECKING          ,6/25/2015,0,DRAUGHT WORKS MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,9,DR,Grocery
E-CHECKING          ,6/25/2015,0,TAMARACK PUBLIC HOUSE MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,26.5,DR,Eating Out
E-CHECKING          ,6/25/2015,0,SHELL Service Station EAST WENATCHE WA POS Withdrawal: #003304,21.61,DR,Gas
E-CHECKING          ,6/25/2015,0,JIMMY JOHNS - 1526 - E 406-5481111 MT Debit Card Withdrawal: SIG DEBIT CARD,16.1,DR,Eating Out
