Account Designator,Posted Date,Serial Number,"Description",Amount,CR/DR
E-CHECKING          ,06/30/15,0000000000,"0.150% Dividend Deposit: 0.150%",000000000.22,CR
E-CHECKING          ,06/30/15,0000000000,"MISSOULA FRESH 800 WEST BROADWAY POS Withdrawal: #009818",000000005.65,DR
E-CHECKING          ,06/30/15,0000000000,"TACO DEL MAR 410016707 RITZVILLE WA Debit Card Withdrawal: SIG DEBIT CARD",000000034.02,DR
E-CHECKING          ,06/30/15,0000000000,"STARBUCKS #10479 RITZVI RITZVILLE WA Debit Card Withdrawal: SIG DEBIT CARD",000000018.09,DR
E-CHECKING          ,06/30/15,0000000000,"AMAZON.COM ACH Deposit: AMAZON.COM",000000074.23,CR
E-CHECKING          ,06/30/15,0000000000,"SONIC DRIVE IN #5932 WENATCHEE WA Debit Card Withdrawal: SIG DEBIT CARD",000000020.78,DR
E-CHECKING          ,06/30/15,0000000000,"OLES COUNTRY STR #2 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000002.58,DR
E-CHECKING          ,06/29/15,0000000000,"B AND B FRUIT AND ORCH EAST WENATCHE WA Debit Card Withdrawal: SIG DEBIT CARD",000000027.53,DR
E-CHECKING          ,06/28/15,0000000000,"SHELL OIL 57425436201 E WENATCHEE WA Debit Card Withdrawal: SIG DEBIT CARD",000000014.94,DR
E-CHECKING          ,06/28/15,0000000000,"SHELL Service Station EAST WENATCHE WA POS Withdrawal: #035684",000000005.00,DR
E-CHECKING          ,06/27/15,0000000000,"SHELL Service Station EAST WENATCHE WA POS Withdrawal: #047889",000000028.69,DR
E-CHECKING          ,06/26/15,0000000000,"SHELL OIL 57425436201 E WENATCHEE WA Debit Card Withdrawal: SIG DEBIT CARD",000000009.18,DR
E-CHECKING          ,06/26/15,0000000000,"FRED MEYER 654 EAST WENATCHE WA POS Withdrawal: #004363",000000016.88,DR
E-CHECKING          ,06/26/15,0000000000,"SHELL Service Station EAST WENATCHE WA POS Withdrawal: #034630",000000005.00,DR
E-CHECKING          ,06/26/15,0000000000,"CENEX FINEST O07065477 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000056.00,DR
E-CHECKING          ,06/25/15,0000000000,"LINCOLN ROCK 360-902-8523 WA Debit Card Withdrawal: SIG DEBIT CARD",000000040.00,DR
E-CHECKING          ,06/25/15,0000000000,"LIBERTY LAKE REGIONAL LIBERTY LAKE WA Debit Card Withdrawal: SIG DEBIT CARD",000000004.00,DR
E-CHECKING          ,06/25/15,0000000000,"DRAUGHT WORKS MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000009.00,DR
E-CHECKING          ,06/25/15,0000000000,"TAMARACK PUBLIC HOUSE MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000026.50,DR
E-CHECKING          ,06/25/15,0000000000,"SHELL Service Station EAST WENATCHE WA POS Withdrawal: #003304",000000021.61,DR
E-CHECKING          ,06/25/15,0000000000,"JIMMY JOHNS - 1526 - E 406-5481111 MT Debit Card Withdrawal: SIG DEBIT CARD",000000016.10,DR
E-CHECKING          ,06/25/15,0000000000,"STATE OF MONTANA ACH Deposit: STATE OF MONTANA",000000424.00,CR
E-CHECKING          ,06/25/15,0000000000,"ST REGIS TRAVEL CTR SAINT REGIS MT Debit Card Withdrawal: SIG DEBIT CARD",000000015.46,DR
E-CHECKING          ,06/24/15,0000000000,"HILLTOP MINI-MART MOSES LAKE WA POS Withdrawal: #028654",000000004.48,DR
E-CHECKING          ,06/24/15,0000000000,"CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000009.16,DR
E-CHECKING          ,06/24/15,0000000000,"BURGER KING #7518 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000010.54,DR
E-CHECKING          ,06/24/15,0000000000,"BURGER KING #9036 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD",000000005.78,DR
