Account Designator,Posted Date,Serial Number,Description,Amount,CR/DR,Type
E-CHECKING          ,8/31/2015,0,0.150% Dividend Deposit: 0.150%,0.03,CR,Income
E-CHECKING          ,8/31/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.35,DR,Eating Out
E-CHECKING          ,8/31/2015,0,BLACKJACK PIZZA MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,22.16,DR,Eating Out
E-CHECKING          ,8/31/2015,0,THE LIFELONG LEARNING C 406-5498765 MT Debit Card Withdrawal: SIG DEBIT CARD,22,DR,Education
E-CHECKING          ,8/31/2015,0,THE LIFELONG LEARNING C 406-5498765 MT Debit Card Withdrawal: SIG DEBIT CARD,22,DR,Education
E-CHECKING          ,8/30/2015,0,LITTLE CAESARS 0277 000 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,3,DR,Eating Out
E-CHECKING          ,8/30/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,3.68,DR,Eating Out
E-CHECKING          ,8/30/2015,0,CENEX ZIP TRIP07082399 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,2.69,DR,Eating Out
E-CHECKING          ,8/30/2015,0,GOOGLE *BIGBLUEBUBBLE GOOGLE.COM/CH CA Debit Card Withdrawal: SIG DEBIT CARD,1.99,DR,Video Games
E-CHECKING          ,8/30/2015,0,GOOGLE *TINYCO GOOGLE.COM/CH CA Debit Card Withdrawal: SIG DEBIT CARD,19.99,DR,Video Games
E-CHECKING          ,8/29/2015,0,SUBWAY 00100586 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,14.5,DR,Eating Out
E-CHECKING          ,8/29/2015,0,COSTCO WHSE #0067 MISSOULA MT POS Withdrawal: #007189,66.47,DR,Grocery
E-CHECKING          ,8/29/2015,0,JAY'S MART MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,7.29,DR,Eating Out
E-CHECKING          ,8/28/2015,0,NETFLIX.COM NETFLIX.COM CA Debit Card Withdrawal: SIG DEBIT CARD,7.99,DR,Netflix
E-CHECKING          ,8/25/2015,0,Acorns.com ACH Withdrawal: Acorns.com,8.3,DR,Investment
E-CHECKING          ,8/24/2015,0,CENEX ZIP TRIP07082407 MISSOULA MT Debit Card Withdrawal: SIG DEBIT CARD,10.98,DR,Eating Out
E-CHECKING          ,8/23/2015,0,COSTCO WHSE #0067 MISSOULA MT POS Withdrawal: #018375,27.76,DR,Grocery
E-CHECKING          ,8/23/2015,0,WM SUPERCENTER Wal-Mart Super Center POS Withdrawal: #013514,27.86,DR,Misc
E-CHECKING          ,8/22/2015,0,WM SUPERCENTER Wal-Mart Super Center POS Withdrawal: #045027,57.16,DR,Misc
